id_pagamento,id_emprestimo,data_pagamento,valor_pago,forma_pagamento
1,2312,2023-11-03,4700.77,Boleto
2,282,2024-02-11,4496.52,DOC
3,1753,2023-11-17,1612.37,TED
4,2416,2023-09-01,6570.84,TED
5,1813,2024-05-19,6571.09,Pix
6,1952,2024-01-06,409.34,DOC
7,2413,2024-02-28,2767.49,DOC
8,1554,2024-12-26,5754.5,Boleto
9,732,2024-07-28,6711.03,DOC
10,420,2024-07-06,9198.03,Boleto
11,2316,2023-06-19,7607.25,DOC
12,1574,2024-06-19,8584.04,TED
13,1973,2025-05-05,7076.67,DOC
14,611,2024-04-17,8290.71,Boleto
15,214,2023-07-19,660.43,TED
16,552,2025-02-12,3472.97,Pix
17,283,2024-02-22,8015.41,DOC
18,2415,2024-06-27,1480.79,TED
19,893,2023-12-14,8881.14,Boleto
20,1710,2023-08-31,2568.32,DOC
21,1509,2024-02-07,433.17,DOC
22,586,2024-04-18,6264.98,DOC
23,1082,2024-09-15,1138.17,Pix
24,2492,2025-04-29,1302.36,DOC
25,2191,2025-03-12,6747.83,Boleto
26,1641,2025-01-12,8768.45,TED
27,1042,2023-10-22,8984.88,TED
28,714,2025-04-28,2336.67,Boleto
29,1692,2024-08-17,5273.44,Boleto
30,2405,2025-03-21,208.71,Boleto
31,1195,2024-10-10,7744.7,TED
32,2285,2025-04-21,8957.14,Boleto
33,971,2023-09-23,6990.24,DOC
34,2262,2024-06-05,2616.04,TED
35,883,2024-06-07,9860.97,TED
36,787,2024-08-17,7484.83,Boleto
37,1591,2024-03-16,755.93,Boleto
38,1266,2024-04-18,3390.47,TED
39,578,2023-10-02,8016.75,Boleto
40,21,2024-06-20,981.25,Pix
41,328,2023-10-29,5758.69,Boleto
42,2049,2024-06-05,5285.51,Pix
43,458,2024-04-19,6932.69,DOC
44,98,2025-03-13,685.41,Pix
45,151,2025-04-12,659.57,Pix
46,2034,2024-11-01,8537.03,TED
47,236,2024-02-14,257.12,Boleto
48,459,2025-05-02,4521.88,Boleto
49,156,2024-05-11,9813.09,Boleto
50,1848,2024-09-17,1030.13,TED
51,1422,2023-07-31,2632.13,DOC
52,2264,2024-02-08,4840.91,Pix
53,1238,2023-10-18,6104.51,TED
54,1104,2025-04-13,1822.87,TED
55,696,2024-06-15,9685.52,DOC
56,105,2024-06-12,6830.86,TED
57,46,2023-08-05,4191.86,Boleto
58,1279,2024-10-22,624.8,Pix
59,2173,2023-12-03,9618.56,Pix
60,579,2023-06-25,3022.38,Boleto
61,994,2023-07-30,1689.25,Boleto
62,763,2024-04-07,9843.62,TED
63,1527,2024-02-24,7810.62,DOC
64,2389,2024-07-03,3268.58,Pix
65,1864,2024-12-05,589.54,Boleto
66,2003,2024-03-05,5952.79,DOC
67,2048,2024-07-17,664.45,Boleto
68,1262,2023-11-26,8670.61,TED
69,2129,2024-02-14,3170.51,DOC
70,1802,2025-01-31,6025.21,Boleto
71,520,2025-04-19,9997.13,Boleto
72,1391,2024-02-03,7413.47,Boleto
73,894,2024-10-08,8208.18,DOC
74,342,2024-05-18,1881.06,TED
75,1640,2024-07-22,1307.12,TED
76,485,2023-12-04,4823.97,Pix
77,1092,2024-03-31,5017.52,Pix
78,113,2025-01-06,4885.44,TED
79,1105,2024-01-08,7459.63,Pix
80,988,2023-11-15,6291.21,TED
81,645,2025-04-02,642.34,TED
82,1224,2024-05-18,8720.87,Boleto
83,133,2024-01-24,9499.43,Boleto
84,636,2025-04-28,1095.6,TED
85,1342,2024-02-05,8798.24,Pix
86,920,2024-09-15,9866.66,Pix
87,1217,2025-02-13,3822.09,Boleto
88,2291,2024-07-26,4949.4,Boleto
89,1123,2024-10-22,4933.08,Pix
90,578,2024-10-26,4723.72,TED
91,2351,2025-05-26,736.35,TED
92,1045,2024-05-29,8010.03,Boleto
93,2163,2025-01-31,4948.51,DOC
94,1440,2024-05-03,4470.19,TED
95,1911,2024-04-15,4605.53,Boleto
96,683,2024-06-19,6546.26,Boleto
97,1096,2024-12-06,7093.71,Boleto
98,2206,2025-05-20,9863.68,TED
99,442,2023-10-23,9539.71,Pix
100,481,2025-04-08,6931.37,DOC
101,1871,2025-04-11,9100.35,TED
102,1347,2024-06-10,6221.84,TED
103,1598,2023-06-04,7268.47,Pix
104,1858,2023-06-30,852.3,Pix
105,146,2023-07-27,718.66,Boleto
106,711,2024-01-26,8570.24,DOC
107,1045,2025-01-30,1532.85,DOC
108,564,2023-11-09,8539.61,Boleto
109,987,2023-12-03,3627.17,Pix
110,2081,2023-10-16,7471.58,Pix
111,2023,2024-12-26,5540.52,Pix
112,1983,2024-04-13,9102.99,Boleto
113,577,2024-01-21,8643.77,Pix
